pmid,articlepubdate,articletype,pmidsrcs,meshheadings,meshsubheadings,meshcodes,cids,sids,articletitle,articleabstract,articlejourname,articleauth,articleaffil,citation,dois,annotation
15636186,20041101,article,xref,"Agriculture,Cordyceps,Drugs, Chinese Herbal,Electrophoresis, Capillary,Quality Control","chemistry,growth & development,standards","D004365 Q000592 NN,D004365 Q000737 NY,D032661 Q000254 NN,D032661 Q000737 NY","6029,60961,135398635","127777609,128771931,128814610",Distinction of water-soluble constituents between natural and cultured Cordyceps by capillary electrophoresis,"Cordyceps is an expensive traditional Chinese medicine, which has anti-tumor activity and significant effects on the immune system. In Southeast Asia, Cordyceps is commonly sold in capsule form as a health food product. Most of these products are derived from cultured Cordyceps mycelia. Because of the price difference, some manufacturers claim their products are from natural Cordyceps. In order to distinguish among various types of Cordyceps in the market, the profiles of water-soluble constituents derived ",Phytomedicine : international journal of phytotherapy and phytopharmacology,"S P Li, Z H Song, T T X Dong, Z N Ji, C K Lo, S Q Zhu, K W K Tsim","Institute of Chinese Medical Sciences, University of Macau, Taipa, Macau, China. SPLi@umac.mo",2004 Nov; 11(7-8):684-90,10.1016/j.phymed.2003.07.011,NULL
23707329,20130730,article,mesh,"Animals,Biological Products,Cell Line,Cell Proliferation,Cordyceps,Cytokines,Macrophages,Mice,Mycelium,Nitric Oxide,Nitric Oxide Synthase Type II,Phagocytosis","drug effects,isolation & purification,metabolism,pharmacology","D001688 Q000494 NY,D008264 Q000187 NN,D008264 Q000378 NN,D009569 Q000378 NN,D010587 Q000187 NN,D016207 Q000378 NN,D032661 Q000302 YN,D049109 Q000187 NN,D052247 Q000378 NN",145068,NULL,Mycelia extracts of fungal strains isolated from Cordyceps sinensis differently enhance the function of RAW 264.7 macrophages,"ETHNOPHARMACOLOGICAL RELEVANCE: Cordyceps sinensis, an entomogenous fungus used in traditional Chinese medicine with multiple pharmacological activities. However, its usage has been limited due to the high price and short supply. Isolate of fungi strains from natural Cordyceps sinensis to achieve a large-scale production by fermentation is an alternative choice. The aim of this study was to investigate and compare the effects of mycelia extracts of different fungal stains isolated from natural Cordyceps sin",Journal of ethnopharmacology,"Lan-Zhen Meng, Bao-Qin Lin, Bo Wang, Kun Feng, De-Jun Hu, Lan-Ying Wang, Kit-Leong Cheong, Jing Zhao, Shao-Ping Li","State Key Laboratory of Quality Research in Chinese Medicine, Institute of Chinese Medical Sciences, University of Macau, Macao, China.",2013 Jul; 148(3):818-25,10.1016/j.jep.2013.05.017,NULL
27625176,20160914,article,mesh,"Base Sequence,Cluster Analysis,Cordyceps,DNA, Ribosomal Spacer,Ecosystem,Fruiting Bodies, Fungal,Genetic Variation,High-Throughput Nucleotide Sequencing,Hypocreales,Mycelium,Principal Component Analysis","genetics,methods,ultrastructure","D006999 Q000235 NY,D021903 Q000235 NN,D025282 Q000648 NN,D032661 Q000235 NY,D032661 Q000648 NN,D048690 Q000648 NN,D059014 Q000379 NY",NULL,NULL,High-throughput sequencing-based analysis of endogenetic fungal communities inhabiting the Chinese Cordyceps reveals unexpectedly high fungal diversity,"Chinese Cordyceps, known in Chinese as ""DongChong XiaCao"", is a parasitic complex of a fungus (Ophiocordyceps sinensis) and a caterpillar. The current study explored the endogenetic fungal communities inhabiting Chinese Cordyceps. Samples were collected from five different geographical regions of Qinghai and Tibet, and the nuclear ribosomal internal transcribed spacer-1 sequences from each sample were obtained using Illumina high-throughput sequencing. The results showed that Ascomycota was the dominant fun",Scientific reports,"Fei Xia, Xin Chen, Meng-Yuan Guo, Xiao-Hui Bai, Yan Liu, Guang-Rong Shen, Yu-Ling Li, Juan Lin, Xuan-Wei Zhou","Key Laboratory of Urban Agriculture (South) Ministry of Agriculture, and Engineering Research Center of Cell &Therapeutic Antibody (Ministry of Education), and School of Agriculture and Biology, Shanghai Jiao Tong University, Shanghai 200240, People's Republic of China. State Key Laboratory of Genetic Engineering, School of Life Sciences, Fudan University, Shanghai 200438, People's Republic of China. Department of Immunology, University of Connecticut Health Center, Farmington, Connecticut 06032, United Sta",2016 09; 6(?):33437,10.1038/srep33437,NULL
30806296,20180101,article,mesh,"Animals,China,Cordyceps,Humans,Insecta,Medicine, Chinese Traditional","chemistry,classification,economics,genetics,growth & development,isolation & purification,microbiology,standards","D007313 Q000382 NN,D007313 Q000737 NY,D008516 Q000191 YN,D008516 Q000592 YN,D032661 Q000145 NY,D032661 Q000235 NN,D032661 Q000254 NN,D032661 Q000302 NN",NULL,NULL,An Evaluation of Common Cordyceps (Ascomycetes) Species Found in Chinese Markets,"The common Cordyceps (more than 20 species) found in Chinese markets are evaluated and illustrated. We systematically introduce their taxonomies, allied species, hosts, distributions, yields, selling statuses, and market prices. We summarize and comment on the medicinal value and food safety of Cordyceps. The concept of ""cordyceps"" is explained, the ""best"" cordyceps is explored, and Chinese cordyceps culture is analyzed. We suggest using the word ""cordyceps"" instead of the Latin Cordyceps to report these im",International journal of medicinal mushrooms,"Ling-Sheng Zha, Shi-Ke Huang, Yuan-Pin Xiao, Saranyaphat Boonmee, Prapassorn D Eungwanichayapant, Eric H C McKenzie, Vadim Kryukov, Xing-Liang Wu, Kevin D Hyde, Ting-Chi Wen","School of Life Sciences, Huaibei Normal University, Huaibei, China; Center of Excellence in Fungal Research, Mae Fah Luang University, Chiang Rai, Thailand. Center of Excellence in Fungal Research, Mae Fah Luang University, Chiang Rai, Thailand; Engineering Research Center of Southwest Bio-Pharmaceutical Resources, Ministry of Education, Guizhou University, Guiyang, China. Landcare Research Manaaki Whenua, Auckland, New Zealand. Institute of Systematics and Ecology of Animals, Siberian Branch of the Russian",2018; 20(12):1149-1162,10.1615/intjmedmushrooms.2018027330,NULL
31122191,20190523,article,mesh,"Animals,Bacteria,Cordyceps,Ecosystem,High-Throughput Nucleotide Sequencing,Microbiota,Phylogeny,RNA, Ribosomal, 16S,Sequence Analysis, DNA,Soil Microbiology,Tibet","classification,genetics,isolation & purification","D001419 Q000145 NY,D001419 Q000235 NN,D001419 Q000302 NN,D012336 Q000235 NY,D032661 Q000145 NY,D032661 Q000235 NN",NULL,NULL,Composition and predictive functional analysis of bacterial communities inhabiting Chinese Cordyceps insight into conserved core microbiome,"BACKGROUND: Over the past few decades, most attention to Chinese Cordyceps-associated endogenous microorganism was focused on the fungal community that creates critical bioactive components. Bacterial community associated with Chinese Cordyceps has been previously described; however, most studies were only presenting direct comparisons in the Chinese Cordyceps and its microenvironments. In the current study, our objectives were to reveal the bacterial community structure composition and predict their functi",BMC microbiology,"Fei Xia, Xin Zhou, Yan Liu, Yuling Li, Xiaohui Bai, Xuanwei Zhou","Engineering Research Center of Cell & Therapeutic Antibody, Ministry of Education, and State Key Laboratory of Microbial Metabolism, and School of Agriculture and Biology, Shanghai Jiao Tong University, Shanghai, 200240, People's Republic of China. School of Food and Biological Engineering, ShaanXi University of Science & Technology, Xi' An, 710061, China. Jackson Laboratory for Genomic Medicine, Farmington, CT, 06032, USA. Grassland Research Institute, Qinghai Academy of Animal Sciences and Veterinary Medi",2019 05; 19(1):105,10.1186/s12866-019-1472-0,NULL
15736862,20050101,article,mesh,"Cordyceps,DNA, Fungal,DNA, Ribosomal Spacer,Evolution, Molecular,Molecular Sequence Data,Phylogeny,Sequence Analysis, DNA","analysis,classification,genetics,growth & development","D004271 Q000032 NN,D021903 Q000032 NY,D032661 Q000145 NY,D032661 Q000235 NN,D032661 Q000254 NN",NULL,NULL,Towards a phylogenetic classification of Cordyceps: ITS nrDNA sequence data confirm divergent lineages and paraphyly,"The ascomycetous genus Cordyceps accommodates endoparasitic species that attack arthropods or other fungi. Analyses of ITS nrDNA sequence data of 72 taxa from the teleomorph genera Cordyceps, Claviceps, Epichloë, and the anamorph genera Akanthomyces, Beauveria, Metarhizium, Hirsutella, Hymenostilbe, Paecilomyces, Polycephalomyces, and Tolypocladium assigned the taxa to four main evolutionary lineages not reflected in the current classification of Cordyceps. Ten subclades were recognized from separate analys",Mycological research,"Oyvind Stensrud, Nigel L Hywel-Jones, Trond Schumacher","Division of Botany and Plant Physiology, Department of Biology, University of Oslo, P.O. Box 1045, Blindern, 0316 Oslo, Norway. oyst@nhm.uio.no",2005 Jan; 109(Pt 1):41-56,10.1017/s095375620400139x,NULL
26868933,20160212,article,mesh,"Calibration,Ceramides,Chromatography, High Pressure Liquid,Cordyceps,Glycosphingolipids,Limit of Detection,Mass Spectrometry,Metabolomics,Mycelium,Reproducibility of Results,Sphingolipids","analysis,chemistry,methods","D002518 Q000032 NN,D006028 Q000032 NN,D013058 Q000379 NY,D013107 Q000032 NY,D025282 Q000737 NY,D032661 Q000737 NY,D055432 Q000379 NY",NULL,NULL,Quantitative profiling of sphingolipids in wild Cordyceps and its mycelia by using UHPLC-MS,"In the present study, 101 sphingolipids in wild Cordyceps and its five mycelia were quantitatively profiled by using a fully validated UHPLC-MS method. The results revealed that a general rank order for the abundance of different classes of sphingolipids in wild Cordyceps and its mycelia is sphingoid bases/ceramides > phosphosphingolipids > glycosphingolipids. However, remarkable sphingolipid differences between wild Cordyceps and its mycelia were observed. One is that sphingoid base is the dominant sphingo",Scientific reports,"Jia-Ning Mi, Jing-Rong Wang, Zhi-Hong Jiang","State Key Laboratory of Quality Research in Chinese Medicine, Macau Institute for Applied Research in Medicine and Health, Macau University of Science and Technology, Macau, China. International Institute for Translational Chinese Medicine, Guangzhou University of Chinese Medicine, Guangzhou, China.",2016 Feb; 6(?):20870,10.1038/srep20870,NULL
27874103,20161122,article,mesh,"Bhutan,Chromatography, High Pressure Liquid,Cluster Analysis,Cordyceps,DNA Barcoding, Taxonomic,Molecular Weight,Nucleosides,Polysaccharides","analysis,genetics,physiology","D009705 Q000032 NN,D011134 Q000032 NN,D032661 Q000235 NN,D032661 Q000502 NY",NULL,NULL,"Cordyceps collected from Bhutan, an appropriate alternative of Cordyceps sinensis","Natural Cordyceps collected in Bhutan has been widely used as natural Cordyceps sinensis, an official species of Cordyceps used as Chinese medicines, around the world in recent years. However, whether Cordyceps from Bhutan could be really used as natural C. sinensis remains unknown. Therefore, DNA sequence, bioactive components including nucleosides and polysaccharides in twelve batches of Cordyceps from Bhutan were firstly investigated, and compared with natural C. sinensis. Results showed that the fungus ",Scientific reports,"Ding-Tao Wu, Guang-Ping Lv, Jian Zheng, Qian Li, Shuang-Cheng Ma, Shao-Ping Li, Jing Zhao","State Key Laboratory of Quality Research in Chinese Medicine, Institute of Chinese Medical Sciences, University of Macau, Macao, China. National Institutes for Food and Drug Control, Tiantan Xili 2, Beijing, 100050, China.",2016 11; 6(?):37668,10.1038/srep37668,NULL
30133529,20180101,article,mesh,"Biomarkers,Cordyceps,Drug Contamination,Electrophoresis, Gel, Two-Dimensional,Fungal Proteins,Medicine, Chinese Traditional,Proteomics","analysis,classification,isolation & purification,metabolism,methods,standards","D005656 Q000032 NY,D008516 Q000592 NN,D015415 Q000032 NN,D032661 Q000145 NY,D032661 Q000302 NN,D032661 Q000378 NN,D040901 Q000379 NY",NULL,NULL,Optimization of protein extraction and two-dimensional gel electrophoresis profiles for the identification of Cordyceps sinensis and other similar species,"Given that Chinese materia medica (CMM) is expensive and rare, people take tremendous risk to adulterate and falsify Cordyceps sinensis with counterfeit species with similar morphological features. It is thus essential to develop new methods to identify the authenticity of Cordyceps sinensis. It is hypothesized in this study that Cordyceps sinensis possesses certain protein biomarkers distinct from its counterfeits, which can be identified by proteomic technologies for authentication purposes. This is the f",PloS one,"Roy Chi Ho Chan, Steven Sai Wo Lam, Fiona Long Yan Fong, Dominic Tak Wah Chan, Fred Wang Fat Lee, Eric Tung Po Sze","School of Science and Technology, The Open University of Hong Kong, Hong Kong Special Administrative Region, the People's Republic of China. Department of Chemistry, The Chinese University of Hong Kong, Hong Kong Special Administrative Region, the People's Republic of China.",2018; 13(8):e0202779,10.1371/journal.pone.0202779,NULL
27356387,20151101,article,mesh,"Biomass,Biotransformation,Cordyceps,Culture Media,Germanium,Mycelium","chemistry,metabolism","D003470 Q000737 NY,D005857 Q000378 NY",6326954,NULL,[Effects of Germanium Concentrations on Germanium Accumulation and Biotransformation of Polysaccarified Germanium in Cordyceps militaris],"OBJECTIVE: To study the effects of Germanium (Ge) concentration on Ge accumulation and biotransformation of polysaccarified Ge (PG) in Cordyceps militaris. METHODS: Solid and liquid culture were used in this study. RESULTS: In the solid culture conditions, when the Ge concentration of medium was 200 mg/L, the sporophore biomass of Cordyceps militaris was the maximum; and when Ge concentration was 300 mg/L,the amount of biotransformation of PG in sporophore was the highest; and when the Ge concentration is 2",Zhong yao cai = Zhongyaocai = Journal of Chinese medicinal materials,"Ju-feng Wang, Hu-ming Li, Dao-de Yang",NULL,2015 Nov; 38(11):2331-4,NULL,NULL
